SourceRecordID,SizeSqFt,Bedrooms,Bathrooms,GarageCars,LotAreaSqFt,Neighborhood,OverallQuality,AgeAtSaleYears,SalePriceUSD
1,"1,710",3,2.5,2,"8,450",CollgCr,7,5,"208,500"
2,"1,262",3,2.0,2,"9,600",Veenker,6,31,"181,500"
3,"1,786",3,2.5,2,"11,250",CollgCr,7,7,"223,500"
4,"1,717",3,1.0,3,"9,550",Crawfor,7,91,"140,000"
5,"2,198",4,2.5,3,"14,260",NoRidge,8,8,"250,000"
6,"1,362",1,1.5,2,"14,115",Mitchel,5,16,"143,000"
7,"1,694",3,2.0,2,"10,084",Somerst,8,3,"307,000"
8,"2,090",3,2.5,2,"10,382",NWAmes,7,36,"200,000"
9,"1,774",2,2.0,2,"6,120",OldTown,7,77,"129,900"
10,"1,077",2,1.0,1,"7,420",BrkSide,5,69,"118,000"
11,"1,040",3,1.0,1,"11,200",Sawyer,5,43,"129,500"
12,"2,324",4,3.0,3,"11,924",NridgHt,9,1,"345,000"
13,912,2,1.0,1,"12,968",Sawyer,5,46,"144,000"
14,"1,494",3,2.0,3,"10,652",CollgCr,7,1,"279,500"
15,"1,253",2,1.5,1,"10,920",NAmes,6,48,"157,000"
16,854,2,1.0,2,"6,120",BrkSide,7,78,"132,000"
17,"1,004",2,1.0,2,"11,241",NAmes,6,40,"149,000"
18,"1,296",2,2.0,2,"10,791",Sawyer,4,39,"90,000"
19,"1,114",3,1.5,2,"13,695",SawyerW,5,4,"159,000"
20,"1,339",3,1.0,1,"7,560",NAmes,5,51,"139,000"
21,"2,376",4,3.5,3,"14,215",NridgHt,8,1,"325,300"
22,"1,108",3,1.0,1,"7,449",IDOTRR,7,77,"139,400"
23,"1,795",3,2.0,2,"9,742",CollgCr,8,6,"230,000"
24,"1,060",3,1.0,2,"4,224",MeadowV,5,31,"129,900"
25,"1,060",3,1.0,1,"8,246",Sawyer,5,42,"154,000"
26,"1,600",3,2.0,3,"14,230",NridgHt,8,2,"256,300"
27,900,3,1.0,2,"7,200",NAmes,5,59,"134,800"
28,"1,704",3,2.0,3,"11,478",NridgHt,8,3,"306,000"
29,"1,600",2,1.0,1,"16,321",NAmes,5,49,"207,500"
30,520,1,1.0,1,"6,324",BrkSide,4,81,"68,500"
31,"1,317",3,1.0,1,"8,500",IDOTRR,4,88,"40,000"
32,"1,228",3,1.5,1,"8,544",Sawyer,5,42,"149,350"
33,"1,234",3,2.0,2,"11,049",CollgCr,8,1,"179,900"
34,"1,700",4,1.5,2,"10,552",NAmes,5,51,"165,500"
35,"1,561",2,2.0,2,"7,313",NridgHt,9,2,"277,500"
36,"2,452",4,3.5,3,"13,418",NridgHt,8,2,"309,000"
37,"1,097",3,1.5,2,"10,859",CollgCr,5,15,"145,000"
38,"1,297",3,1.0,2,"8,532",NAmes,5,55,"153,000"
39,"1,057",3,1.0,1,"7,922",NAmes,5,57,"109,000"
40,"1,152",2,2.0,0,"6,040",Edwards,4,53,"82,000"
41,"1,324",3,2.0,2,"8,658",NAmes,6,41,"160,000"
42,"1,328",2,1.5,1,"16,905",Timber,5,48,"170,000"
43,884,2,1.0,2,"9,180",SawyerW,5,24,"144,000"
44,938,3,1.0,1,"9,200",CollgCr,5,33,"130,250"
45,"1,150",3,1.0,1,"7,945",NAmes,5,47,"141,000"
46,"1,752",2,2.0,2,"7,658",NridgHt,9,5,"319,900"
47,"2,149",1,1.5,2,"12,822",Mitchel,7,6,"239,686"
48,"1,656",3,2.0,3,"11,096",Somerst,8,1,"249,700"
49,"1,452",2,2.0,0,"4,456",OldTown,4,89,"113,000"
50,955,3,1.0,1,"7,742",Sawyer,5,41,"127,000"
51,"1,470",3,2.0,2,"13,869",Gilbert,6,10,"177,000"
52,"1,176",3,1.0,2,"6,240",BrkSide,6,72,"114,500"
53,816,2,1.0,2,"8,472",IDOTRR,5,47,"110,000"
54,"1,842",0,0.5,3,"50,271",Veenker,9,25,"385,000"
55,"1,360",3,1.0,2,"7,134",NAmes,5,52,"130,000"
56,"1,425",3,2.0,2,"10,175",NAmes,6,44,"180,500"
57,"1,739",3,2.5,2,"2,645",Somerst,8,10,"172,500"
58,"1,720",3,2.5,2,"11,645",CollgCr,7,2,"196,500"
59,"2,945",3,3.5,3,"13,682",StoneBr,10,0,"438,780"
60,780,2,1.0,1,"7,200",CollgCr,5,36,"124,900"
61,"1,158",3,1.5,2,"13,072",SawyerW,6,2,"158,000"
62,"1,111",3,1.0,1,"7,200",IDOTRR,5,87,"101,000"
63,"1,370",2,2.0,2,"6,442",NridgHt,8,1,"202,500"
64,"1,710",3,2.0,2,"10,300",OldTown,7,89,"140,000"
65,"2,034",3,2.5,2,"9,375",CollgCr,7,12,"219,500"
66,"2,473",4,2.5,3,"9,591",NridgHt,8,3,"317,000"
67,"2,207",3,2.0,2,"19,900",NAmes,7,40,"180,000"
68,"1,479",3,2.0,2,"10,665",CollgCr,7,4,"226,000"
69,747,2,1.0,1,"4,608",OldTown,4,65,"80,000"
70,"2,287",3,2.0,2,"15,593",ClearCr,7,53,"225,000"
71,"2,223",3,2.0,2,"13,651",NAmes,7,34,"244,000"
72,845,2,1.0,2,"7,599",Mitchel,4,25,"129,500"
73,"1,718",3,2.5,2,"10,141",Gilbert,7,11,"185,000"
74,"1,086",3,1.0,2,"10,200",NAmes,5,56,"144,900"
75,"1,605",3,2.0,1,"5,790",OldTown,3,95,"107,400"
76,988,2,1.0,1,"1,596",MeadowV,4,36,"91,000"
77,952,2,1.0,1,"8,475",NAmes,4,52,"135,750"
78,"1,285",2,1.0,1,"8,635",BrkSide,5,60,"127,000"
79,"1,768",4,2.0,0,"10,778",Sawyer,4,42,"136,500"
80,"1,230",2,1.5,2,"10,440",OldTown,5,99,"110,000"
81,"2,142",4,2.5,1,"13,000",NAmes,6,41,"193,500"
82,"1,337",2,2.0,2,"4,500",Mitchel,6,8,"153,500"
83,"1,563",3,2.0,3,"10,206",Somerst,8,1,"245,000"
84,"1,065",3,1.5,2,"8,892",NAmes,5,47,"126,500"
85,"1,474",3,2.5,2,"8,530",Gilbert,7,14,"168,500"
86,"2,417",4,2.5,2,"16,059",NoRidge,8,15,"260,000"
87,"1,560",3,2.5,2,"11,911",Gilbert,6,4,"174,000"
88,"1,224",2,2.5,2,"3,951",Somerst,6,0,"164,500"
89,"1,526",2,1.0,0,"8,470",IDOTRR,3,94,"85,000"
90,990,3,1.0,0,"8,070",CollgCr,4,13,"123,600"
91,"1,040",2,1.0,2,"7,200",NAmes,4,56,"109,900"
92,"1,235",2,1.0,2,"8,500",NAmes,5,45,"98,600"
93,964,2,1.0,2,"13,360",Crawfor,5,88,"163,500"
94,"2,291",4,2.0,2,"7,200",OldTown,6,97,"133,900"
95,"1,786",3,2.5,2,"9,337",CollgCr,6,10,"204,750"
96,"1,470",3,2.5,2,"9,765",Gilbert,6,16,"185,000"
