PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,SourceURL
1,0,3,male,22,1,0,7.25,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
2,1,1,female,38,1,0,71.2833,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
3,1,3,female,26,0,0,7.925,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
4,1,1,female,35,1,0,53.1,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
5,0,3,male,35,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
6,0,3,male,,0,0,8.4583,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
7,0,1,male,54,0,0,51.8625,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
8,0,3,male,2,3,1,21.075,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
9,1,3,female,27,0,2,11.1333,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
10,1,2,female,14,1,0,30.0708,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
11,1,3,female,4,1,1,16.7,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
12,1,1,female,58,0,0,26.55,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
13,0,3,male,20,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
14,0,3,male,39,1,5,31.275,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
15,0,3,female,14,0,0,7.8542,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
16,1,2,female,55,0,0,16,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
17,0,3,male,2,4,1,29.125,Q,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
18,1,2,male,,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
19,0,3,female,31,1,0,18,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
20,1,3,female,,0,0,7.225,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
21,0,2,male,35,0,0,26,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
22,1,2,male,34,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
23,1,3,female,15,0,0,8.0292,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
24,1,1,male,28,0,0,35.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
25,0,3,female,8,3,1,21.075,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
26,1,3,female,38,1,5,31.3875,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
27,0,3,male,,0,0,7.225,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
28,0,1,male,19,3,2,263,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
29,1,3,female,,0,0,7.8792,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
30,0,3,male,,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
31,0,1,male,40,0,0,27.7208,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
32,1,1,female,,1,0,146.5208,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
33,1,3,female,,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
34,0,2,male,66,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
35,0,1,male,28,1,0,82.1708,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
36,0,1,male,42,1,0,52,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
37,1,3,male,,0,0,7.2292,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
38,0,3,male,21,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
39,0,3,female,18,2,0,18,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
40,1,3,female,14,1,0,11.2417,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
41,0,3,female,40,1,0,9.475,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
42,0,2,female,27,1,0,21,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
43,0,3,male,,0,0,7.8958,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
44,1,2,female,3,1,2,41.5792,C,4,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
45,1,3,female,19,0,0,7.8792,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
46,0,3,male,,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
47,0,3,male,,1,0,15.5,Q,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
48,1,3,female,,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
49,0,3,male,,2,0,21.6792,C,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
50,0,3,female,18,1,0,17.8,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
51,0,3,male,7,4,1,39.6875,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
52,0,3,male,21,0,0,7.8,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
53,1,1,female,49,1,0,76.7292,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
54,1,2,female,29,1,0,26,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
55,0,1,male,65,0,1,61.9792,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
